id,x_studio_payment_term/id
Jinasena_MasterData_Common.vendor_group_ca_pur,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.vendor_group_ca_purch,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.vendor_group_ca_sv,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.vendor_group_cr_pur,Jinasena_MasterData_Accounting.account_payment_term_60_days_278
Jinasena_MasterData_Common.vendor_group_cr_sv,Jinasena_MasterData_Accounting.account_payment_term_60_days_278
Jinasena_MasterData_Common.vendor_group_emp_pay,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
Jinasena_MasterData_Common.vendor_group_imp_ven,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.vendor_group_imp_ven_cf,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
Jinasena_MasterData_Common.vendor_group_sbu1,Jinasena_MasterData_Accounting.account_payment_term_90_days_279
Jinasena_MasterData_Common.vendor_group_tra_com,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
Jinasena_MasterData_Common.vendor_group_cr_pur_252,Jinasena_MasterData_Accounting.account_payment_term_60_days
Jinasena_MasterData_Common.vendor_group_cr_sv_253,Jinasena_MasterData_Accounting.account_payment_term_60_days
Jinasena_MasterData_Common.vendor_group_emp_pay_254,Jinasena_MasterData_Accounting.account_payment_term_30_days
Jinasena_MasterData_Common.vendor_group_sbu1_257,Jinasena_MasterData_Accounting.account_payment_term_90_days
Jinasena_MasterData_Common.vendor_group_tra_com_258,Jinasena_MasterData_Accounting.account_payment_term_30_days
