id,name,active,plan_id/id,company_id/id,partner_id/id
account_analytic_account_mnt_eka,MNT-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_mnt_jem,MNT-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_non_sbu1_2038,NON-SBU1,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_alme,OC-ALME,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_cmsc,OC-CMSC,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_cmyc,OC-CMYC,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_dphl,OC-DPHL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jet,OC-JET,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jip,OC-JIP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jms,OC-JMS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_jn_it,OC-JN-IT,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_rdc,OC-RDC,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_rlh,OC-RLH,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_oc_slams,OC-SLAMS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_per_col,PER-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_per_eka,PER-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_per_jem,PER-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_plst_div,PLST-DIV,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_agr_pr,PRD-AGR-PR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_as_jem,PRD-AS-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_castin,PRD-CASTIN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_die_ml,PRD-DIE-ML,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_eng_as,PRD-ENG-AS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_gen,PRD-GEN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_hvst_a,PRD-HVST-A,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mch_sp,PRD-MCH-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mng,PRD-MNG,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mntnce,PRD-MNTNCE,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mot_as,PRD-MOT-AS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mot_cy,PRD-MOT-CY,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_mot_wn,PRD-MOT-WN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_oth,PRD-OTH,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_pdsv,PRD-PDSV,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_plst,PRD-PLST,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_pmp_as,PRD-PMP-AS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_pnt_sp,PRD-PNT-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_qty_cn,PRD-QTY-CN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_trctor,PRD-TRCTOR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_trnspt,PRD-TRNSPT,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_prd_wn_jem,PRD-WN-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_proc_col,PROC-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_r_d_2078,R-D,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_r_d_agr,R-D-AGR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_r_d_jem,R-D-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_r_d_sp,R-D-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rd_agr,RD-AGR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rd_pumps,RD-PUMPS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rd_sp,RD-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_col,REP-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_d_m,REP-D-&-M,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_ekl,REP-EKL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_eng_gn,REP-ENG-GN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_est,REP-EST,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_mot_cy,REP-MOT-CY,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_pmp_pg,REP-PMP-PG,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_quick,REP-QUICK,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_trctor,REP-TRCTOR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_rep_windng,REP-WINDNG,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sls_adm_bd,SLS-ADM-BD,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sls_adm_ca,SLS-ADM-CA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sls_jem,SLS-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_bhs,SP-BHS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_boost,SP-BOOST,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_drip_ir,SP-DRIP-IR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_fil_ins,SP-FIL-INS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_fil_rep,SP-FIL-REP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_fil_sls,SP-FIL-SLS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_gen,SP-GEN,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_grsp,SP-GRSP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_pla_ins,SP-PLA-INS,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_solar,SP-SOLAR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_spr_agr,SP-SPR-AGR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_spr_lnd,SP-SPR-LND,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_wat_pu,SP-WAT-PU,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_wat_tst,SP-WAT-TST,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_sp_wmsp,SP-WMSP,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_spares_col,SPARES-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_st_adm_col,ST-ADM-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_st_adm_eka,ST-ADM-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_st_castng,ST-CASTNG,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_st_dsptch,ST-DSPTCH,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_st_eka,ST-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_st_mn_jem,ST-MN-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_st_statnry,ST-STATNRY,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_tr_center,TR-CENTER,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_tr_citi_gl,TR-CITI-GL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_tr_oth,TR-OTH,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_trns_adm,TRNS-ADM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_trns_dir,TRNS-DIR,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
