id,name,currency_id/id,code,account_type,include_initial_balance,internal_group,reconcile,company_id/id,create_asset,multiple_assets_per_line
account_account_consumables,CONSUMABLES,base.LKR,51010050,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_service_outsource_charges,SERVICE & OUTSOURCE CHARGES,base.LKR,51010070,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_general_issues_production,GENERAL ISSUES - PRODUCTION,base.LKR,51010090,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_general_issues_services_repairs,GENERAL ISSUES & SERVICES - REPAIRS,base.LKR,51010110,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_wages,WORKERS - WAGES,base.LKR,51020010,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_e_p_f,WORKERS - E.P.F.,base.LKR,51020030,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_e_t_f,WORKERS - E.T.F.,base.LKR,51020050,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_exgratia,WORKERS - EXGRATIA,base.LKR,51020070,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_overtime,WORKERS - OVERTIME,base.LKR,51020090,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_bonus,WORKERS - BONUS,base.LKR,51020110,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_gratuity,WORKERS - GRATUITY,base.LKR,51020130,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_medical,WORKERS - MEDICAL,base.LKR,51020150,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_casual_wages,WORKERS - CASUAL WAGES,base.LKR,51020170,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_welfare_expenses,WORKERS - WELFARE EXPENSES,base.LKR,51020190,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_compansation_insurance,WORKERS - COMPANSATION INSURANCE,base.LKR,51020210,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_training,WORKERS - TRAINING,base.LKR,51020230,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_contract_labour,WORKERS - CONTRACT LABOUR,base.LKR,51020250,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_workers_travelling,WORKERS - TRAVELLING,base.LKR,51020270,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_depreciation_building,DEPRECIATION - BUILDING,base.LKR,51030010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_depreciation_plant_and_machinary,DEPRECIATION - PLANT AND MACHINARY,base.LKR,51030030,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_depreciation_tools,DEPRECIATION - TOOLS,base.LKR,51030050,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
