id,x_studio_company_id/id,x_active,x_studio_sequence,x_studio_description,x_name,x_studio_offset_account/id
journal_types_inv_cnt_mj,seed_master_data_and_settings.company_jinasena_pvt_ltd,1,10,Movement journal - Variances of Physical Stock Counts,Inv_Cnt_MJ,__export__.account_account_36_575ae1a5
journal_types_inv_genpr0,seed_master_data_and_settings.company_jinasena_pvt_ltd,1,10,Inventory Movement-General Issues Production,Inv_GENPR0,__export__.account_account_1441_589ff9e3
journal_types_inv_genrep,seed_master_data_and_settings.company_jinasena_pvt_ltd,1,10,Inventory Movement-General Issues Repairs,Inv_GENREP,__export__.account_account_36_575ae1a5
journal_types_mj_fse,seed_master_data_and_settings.company_jinasena_pvt_ltd,1,10,Material Movement to Maintenance Factory,MJ_FSE,
